record_id,scenario_family,source_name,source_url,source_basis,product,product_category,lot_or_batch,observed_text,expected_ctes,expected_abstentions,gold_label_method
web500-0001,gs1-ship-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh basil,fresh herbs,BASIL-LOT-042,EPCIS ObjectEvent uses bizStep shipping for fresh basil lot BASIL-LOT-042 moving from supplier to buyer.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0002,gs1-ship-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh cucumber,fresh produce,CUC-LOT-118,EPCIS ObjectEvent uses bizStep shipping for fresh cucumber lot CUC-LOT-118 moving from supplier to buyer.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0003,gs1-ship-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh sprouts,sprouts,SPR-LOT-220,EPCIS ObjectEvent uses bizStep shipping for fresh sprouts lot SPR-LOT-220 moving from supplier to buyer.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0004,gs1-ship-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh tuna,seafood,TUNA-LOT-771,EPCIS ObjectEvent uses bizStep shipping for fresh tuna lot TUNA-LOT-771 moving from supplier to buyer.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0005,gs1-ship-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",soft cheese,soft cheese,CHEESE-LOT-319,EPCIS ObjectEvent uses bizStep shipping for soft cheese lot CHEESE-LOT-319 moving from supplier to buyer.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0006,gs1-ship-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",bulk olive oil,oil ingredient,OIL-LOT-540,EPCIS ObjectEvent uses bizStep shipping for bulk olive oil lot OIL-LOT-540 moving from supplier to buyer.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0007,gs1-ship-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",bottled olive oil,finished oil,BOT-OIL-903,EPCIS ObjectEvent uses bizStep shipping for bottled olive oil lot BOT-OIL-903 moving from supplier to buyer.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0008,gs1-ship-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh grapes,fresh produce,GRAPE-LOT-104,EPCIS ObjectEvent uses bizStep shipping for fresh grapes lot GRAPE-LOT-104 moving from supplier to buyer.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0009,gs1-ship-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",leaf lettuce,leafy greens,LETT-LOT-514,EPCIS ObjectEvent uses bizStep shipping for leaf lettuce lot LETT-LOT-514 moving from supplier to buyer.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0010,gs1-ship-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",prepared deli salad,prepared food,DELI-LOT-822,EPCIS ObjectEvent uses bizStep shipping for prepared deli salad lot DELI-LOT-822 moving from supplier to buyer.,"[""shipping""]",[],manual_label_from_public_source_pattern
web500-0011,gs1-receive-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh basil,fresh herbs,BASIL-LOT-042,EPCIS ObjectEvent uses bizStep receiving when fresh basil lot BASIL-LOT-042 enters the distribution center.,"[""receiving""]",[],manual_label_from_public_source_pattern
web500-0012,gs1-receive-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh cucumber,fresh produce,CUC-LOT-118,EPCIS ObjectEvent uses bizStep receiving when fresh cucumber lot CUC-LOT-118 enters the distribution center.,"[""receiving""]",[],manual_label_from_public_source_pattern
web500-0013,gs1-receive-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh sprouts,sprouts,SPR-LOT-220,EPCIS ObjectEvent uses bizStep receiving when fresh sprouts lot SPR-LOT-220 enters the distribution center.,"[""receiving""]",[],manual_label_from_public_source_pattern
web500-0014,gs1-receive-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh tuna,seafood,TUNA-LOT-771,EPCIS ObjectEvent uses bizStep receiving when fresh tuna lot TUNA-LOT-771 enters the distribution center.,"[""receiving""]",[],manual_label_from_public_source_pattern
web500-0015,gs1-receive-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",soft cheese,soft cheese,CHEESE-LOT-319,EPCIS ObjectEvent uses bizStep receiving when soft cheese lot CHEESE-LOT-319 enters the distribution center.,"[""receiving""]",[],manual_label_from_public_source_pattern
web500-0016,gs1-receive-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",bulk olive oil,oil ingredient,OIL-LOT-540,EPCIS ObjectEvent uses bizStep receiving when bulk olive oil lot OIL-LOT-540 enters the distribution center.,"[""receiving""]",[],manual_label_from_public_source_pattern
web500-0017,gs1-receive-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",bottled olive oil,finished oil,BOT-OIL-903,EPCIS ObjectEvent uses bizStep receiving when bottled olive oil lot BOT-OIL-903 enters the distribution center.,"[""receiving""]",[],manual_label_from_public_source_pattern
web500-0018,gs1-receive-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh grapes,fresh produce,GRAPE-LOT-104,EPCIS ObjectEvent uses bizStep receiving when fresh grapes lot GRAPE-LOT-104 enters the distribution center.,"[""receiving""]",[],manual_label_from_public_source_pattern
web500-0019,gs1-receive-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",leaf lettuce,leafy greens,LETT-LOT-514,EPCIS ObjectEvent uses bizStep receiving when leaf lettuce lot LETT-LOT-514 enters the distribution center.,"[""receiving""]",[],manual_label_from_public_source_pattern
web500-0020,gs1-receive-bizstep,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",prepared deli salad,prepared food,DELI-LOT-822,EPCIS ObjectEvent uses bizStep receiving when prepared deli salad lot DELI-LOT-822 enters the distribution center.,"[""receiving""]",[],manual_label_from_public_source_pattern
web500-0021,gs1-transform-input-output,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh basil,fresh herbs,BASIL-LOT-042,EPCIS TransformationEvent consumes input lot BASIL-LOT-042 and produces output lot OUT-BASIL-LOT-042.,"[""transformation""]",[],manual_label_from_public_source_pattern
web500-0022,gs1-transform-input-output,GS1 EPCIS Standard,https://ref.gs1.org/standards/epcis/,"EPCIS defines visibility event data, shipping business-step examples, and TransformationEvent input/output semantics.",fresh cucumber,fresh produce,CUC-LOT-118,EPCIS TransformationEvent consumes input lot CUC-LOT-118 and produces output lot OUT-CUC-LOT-118.,"[""transformation""]",[],manual_label_from_public_source_pattern
